Model,0-25%,25-50%,50-75%,75-100%,Reference Model Quartile,0-25%_count,25-50%_count,50-75%_count,75-100%_count
gpt-4-1106-preview,0.0,0.25641025641025633,0.10476190476190476,0.7333333333333334,75-100%,5,13,15,16
gpt-4-0613,0.2809698283824899,0.21666666666666667,0.2571428571428572,0.5166666666666667,75-100%,14,16,15,16
koala-13b,0.4545454545454545,-0.19999999999999998,0.3333333333333334,0.19999999999999998,0-25%,12,5,4,5
gpt-3.5-turbo-0613,0.4065934065934066,0.13333333333333333,0.009523809523809525,0.5166666666666667,75-100%,14,16,15,16
mistral-medium,0.33333333333333337,0.4545454545454545,0.1208791208791209,0.41666666666666663,75-100%,3,12,14,16
llama-2-13b-chat,0.3333333333333333,0.2087912087912088,0.4976133515281193,0.21666666666666667,25-50%,12,14,15,16
mistral-7b-instruct,0.0,0.46153846153846145,-0.14285714285714288,0.26666666666666666,0-25%,5,13,15,16
gpt-3.5-turbo-0314,0.606060606060606,-0.3333333333333334,0.0,1.0,50-75%,12,4,4,2
vicuna-13b,0.4666666666666666,0.2928895930645031,0.009523809523809525,0.4267819784654187,25-50%,16,16,15,16
gpt-4-0314,0.5047619047619049,0.44199569608786393,-0.13333333333333333,0.38333333333333336,75-100%,15,14,16,16
mixtral-8x7b-instruct-v0.1,-1.0,0.05128205128205127,0.14285714285714285,0.5833333333333334,75-100%,2,13,14,16
gemini-pro,-1.0,0.14285714285714288,-0.2727272727272727,0.5151515151515151,75-100%,2,7,11,12
claude-2.0,-0.03871048305693819,0.5238095238095238,0.18681318681318684,0.25941649671427414,75-100%,13,15,14,16
vicuna-7b,0.4476190476190477,0.018181818181818184,0.3333333333333333,0.2857142857142857,0-25%,15,11,9,8
guanaco-33b,0.0909090909090909,-0.06666666666666665,0.6666666666666669,-0.39999999999999997,25-50%,12,6,4,5
chatglm3-6b,0.0,0.022222222222222223,0.03827795011754764,0.00836827408755723,0-25%,4,10,15,16
openchat-3.5,0.7999999999999999,0.1272727272727273,-0.18095238095238098,0.0,50-75%,5,11,15,16
pplx-70b-online,0.33333333333333337,-0.3090909090909091,0.3626373626373627,0.41666666666666663,50-75%,3,11,14,16
gpt-3.5-turbo-1106,0.39999999999999997,0.21935940398931636,0.14285714285714288,0.5833333333333334,50-75%,5,13,15,16
mpt-30b-chat,0.3511552695176641,0.04761904761904762,0.6,0.39999999999999997,25-50%,12,7,5,5
gpt4all-13b-snoozy,0.4242424242424242,-0.2,0.3333333333333334,0.19999999999999998,0-25%,12,6,4,5
llama2-70b-steerlm-chat,-0.33333333333333337,0.4999999999999999,-0.04580286124143445,0.37142857142857144,50-75%,3,8,12,15
gemini-pro-dev-api,-0.33333333333333337,-0.45454545454545453,-0.0763381020690574,0.4476190476190477,75-100%,3,11,12,15
wizardlm-70b,0.3333333333333334,0.303030303030303,0.028571428571428574,0.45,50-75%,4,12,15,16
claude-instant-1,0.19999999999999998,0.18333333333333335,0.38333333333333336,0.19999999999999998,50-75%,16,16,16,16
claude-1,0.48333333333333334,-0.06666666666666667,0.41666666666666663,0.6833333333333333,75-100%,16,16,16,16
claude-2.1,0.6,0.11766968108291039,0.21904761904761905,0.5166666666666667,75-100%,5,13,15,16
chatglm-6b,0.6363636363636362,-0.7333333333333333,1.0,0.7999999999999999,0-25%,12,6,4,5
alpaca-13b,0.7878787878787877,0.06666666666666665,0.3333333333333334,0.0,0-25%,12,6,4,5
gpt-4-0125-preview,-0.33333333333333337,0.16363636363636364,-0.1818181818181818,0.29523809523809524,75-100%,3,11,12,15
wizardlm-13b,0.18095238095238098,0.1272727272727273,0.1111111111111111,0.42857142857142855,50-75%,15,11,9,8
dolly-v2-12b,0.8787878787878787,0.3333333333333334,0.3333333333333334,0.0,0-25%,12,4,4,4
deepseek-llm-67b-chat,-1.0,0.0,0.0303030303030303,0.3186813186813187,50-75%,2,9,12,14
chatglm2-6b,0.7999999999999999,-0.19999999999999998,-0.07142857142857142,0.4285714285714286,0-25%,5,10,8,7
starling-lm-7b-alpha,1.0,-0.10256410256410255,-0.1208791208791209,0.38333333333333336,75-100%,2,13,14,16
tulu-2-dpo-70b,0.0,-0.0909090909090909,0.11483385035264293,0.7666666666666667,50-75%,4,12,15,16
llama-2-7b-chat,0.282051282051282,0.4476190476190477,-0.028571428571428574,0.19999999999999998,25-50%,13,15,15,16
zephyr-7b-beta,0.39999999999999997,0.6666666666666665,0.12380952380952381,0.48333333333333334,25-50%,5,13,15,16
stablelm-tuned-alpha-7b,0.6969696969696969,-1.0,1.0,-1.0,0-25%,12,3,3,2
oasst-pythia-12b,0.8484848484848484,0.3333333333333333,-0.3333333333333334,0.19999999999999998,0-25%,12,6,4,5
vicuna-33b,0.4476190476190477,0.06666666666666668,0.25,0.45,50-75%,15,15,16,16
dolphin-2.2.1-mistral-7b,1.0,0.5238095238095238,0.18349396085439343,0.39393939393939387,50-75%,2,7,11,12
llama-2-70b-chat,0.39999999999999997,0.06666666666666668,-0.12380952380952381,0.2833333333333333,50-75%,5,15,15,16
llama-13b,0.3333333333333333,0.0,-0.3333333333333334,-1.0,0-25%,12,4,4,2
palm-2,0.7142857142857143,0.0909090909090909,0.303030303030303,0.5111111111111111,25-50%,15,12,12,10
codellama-34b-instruct,0.0,-0.2087912087912088,0.10476190476190476,0.18333333333333335,25-50%,5,14,15,16
yi-34b-chat,0.19999999999999998,0.06451747176156364,0.3904761904761905,0.06666666666666667,75-100%,5,13,15,16
mpt-7b-chat,0.5454545454545454,-0.3333333333333333,1.0,-0.31622776601683794,0-25%,12,6,4,5
fastchat-t5-3b,0.6666666666666665,0.2,0.0,0.7999999999999999,0-25%,13,6,4,5
qwen-14b-chat,0.6666666666666669,0.2727272727272727,-0.3186813186813187,0.4725274725274726,25-50%,4,11,14,14
gpt-3.5-turbo-0125,1.0,-0.15555555555555553,0.015267620413811482,0.2761904761904762,75-100%,3,10,12,15
openhermes-2.5-mistral-7b,-1.0,0.05454545454545454,0.2527472527472528,0.38333333333333336,50-75%,3,11,14,16
qwen1.5-72b-chat,1.0,-0.31462660248284624,0.1666952519797431,0.40191847623425025,75-100%,3,10,11,15
RWKV-4-Raven-14B,0.606060606060606,-0.2,1.0,0.19999999999999998,0-25%,12,6,4,5
solar-10.7b-instruct-v1.0,-1.0,0.29649972666444047,0.34545454545454546,0.0,50-75%,2,8,11,12
pplx-7b-online,-0.33333333333333337,0.2201927530252721,0.42857142857142855,0.2833333333333333,25-50%,3,11,14,16
qwen1.5-4b-chat,-1.0,-0.4728054288446501,0.14085904245475278,0.21059925059706253,0-25%,2,8,9,13
falcon-180b-chat,-1.0,0.19999999999999998,0.14285714285714288,0.5555555555555555,25-50%,4,10,7,10
nous-hermes-2-mixtral-8x7b-dpo,0.0,0.31462660248284624,0.21541010921383227,0.2967032967032967,50-75%,3,10,12,14
stripedhyena-nous-7b,1.0,-0.1797866299901979,0.0909090909090909,0.6380952380952382,25-50%,2,10,12,15
zephyr-7b-alpha,0.33333333333333337,-0.1111111111111111,-0.7999999999999999,0.3333333333333334,25-50%,3,9,5,4
qwen1.5-7b-chat,1.0,0.4029114820126901,0.181848241863327,0.26519741765271837,25-50%,2,8,8,14
mistral-7b-instruct-v0.2,,-0.6666666666666669,-0.49135381491199537,0.2039219419676107,25-50%,0,4,8,15
openchat-3.5-0106,-1.0,0.1091089451179962,-0.1111111111111111,0.13397282541141675,25-50%,2,8,9,15
