,0-25,25-50,50-75,75-100,model_percentile
chatglm-6b,0.93007891512411,,,,0-25
koala-13b,,,0.976657013341676,,50-75
oasst-pythia-12b,,0.984451279207741,,,25-50
alpaca-13b,,0.9753050856059791,,,25-50
vicuna-13b,,,0.9930743062586207,,50-75
dolly-v2-12b,0.9514194470592064,,,,0-25
stablelm-tuned-alpha-7b,0.9570738496913042,,,,0-25
llama-13b,0.7576206836186218,,,,0-25
fastchat-t5-3b,0.9676873964854384,,,,0-25
gpt-3.5-turbo,,,,0.9863506326089472,75-100
gpt-4,,,,0.9609330415975831,75-100
RWKV-4-Raven-14B,,0.9907426392337514,,,25-50
claude-v1,,,,0.9706411201978951,75-100
mpt-7b-chat,,0.9807137645956145,,,25-50
palm-2,,,0.9796141929749879,,50-75
claude-instant-v1,,,,0.7684587234811735,75-100
vicuna-7b,,,0.9483987867958364,,50-75
wizardlm-13b,,,0.906836424672362,,50-75
gpt4all-13b-snoozy,,0.8867758749492738,,,25-50
guanaco-33b,,,,0.9108242724311334,75-100
